run,fid_esm,n_gen,nn_cos_med,nn_cos_p90,n_gen_emb,n_gen_seqs,len_mean_gen,len_mean_real,jsd_amino_acid,ks_len_stat,ks_len_p,G_loss_last,G_loss_slope,D_loss_last,D_loss_slope,G_grad_last,G_grad_slope,D_grad_last,D_grad_slope,FR_loss_last,FR_loss_slope,CDR_js_last,CDR_js_slope,Len_diff_last,Len_diff_slope,Len_gen_last,Len_gen_slope,Len_real_last,Len_real_slope,AnyHit_last,AnyHit_slope,FullHit_last,FullHit_slope,NoHit_last,NoHit_slope
20250706-154628,2.624580231049776,800,0.03349107503890991,0.03992555737495423,800,800.0,160.0,122.79103846695787,0.15749274854283613,1.0,0.0,1.3555463552474976,-2.4367786706274266e-07,-0.4420758187770843,-1.9949556095962546e-06,4.779608726501465,5.61271331100104e-07,4.542340278625488,1.1734206502031592e-06,,,0.2036343514919281,-1.4270255048055145e-08,-5.484375,-1.4485323070576775e-05,121.0,6.844241310799503e-19,126.0,1.7156678916974217e-05,,,,,,
20250707-055456,1.8319662766670464,800,0.018415242433547974,0.023567557334899906,800,800.0,160.0,122.79103846695787,0.15164968124216016,1.0,0.0,2.574754476547241,2.0804704913062122e-07,-1.05185067653656,-3.4464190590001605e-06,5.039854526519775,-2.166294470065866e-06,5.373342990875244,-2.6664317884319518e-06,,,0.1634182631969452,-1.9146556508858835e-08,-3.671875,1.933895921237757e-07,121.0,-9.577283533152275e-20,125.0,-4.360056258790662e-06,,,,,,
20250707-105025,3.642827111864948,800,0.02164560556411743,0.027205747365951556,800,800.0,160.0,122.79103846695787,0.1341658184039991,1.0,0.0,-0.866038978099823,8.934338701149951e-08,-0.7655209898948669,-2.93519338051217e-06,4.22668981552124,6.376233825541072e-07,8.583044052124023,-6.2300584553328895e-06,,,0.1656418293714523,-1.4271694368674265e-08,12.53125,-2.528752051101735e-05,127.0,2.93014533520888e-06,114.0,2.11439287388654e-05,,,,,,
20250708-031511,2.0641516889471654,800,0.01776716113090515,0.026502954959869526,800,800.0,160.0,122.79103846695787,0.1434219328610471,1.0,0.0,-2.094226837158203,3.026789616911609e-07,-0.3540668487548828,2.0846224566449493e-07,3.3658602237701416,5.5684831978904096e-06,4.437255859375,-2.91441148933228e-07,,,0.1330040395259857,7.04297147066018e-08,7.90625,3.845815752461176e-07,121.0,-9.577283533152275e-20,113.0,1.4767932489465e-06,,,,,,
20250710-042044,9.470079857450711,800,0.07176065444946289,0.07548648118972778,800,800.0,160.0,122.79103846695787,0.1631848518660255,1.0,0.0,0.5697501301765442,3.3149710292003295e-08,-1.417888641357422,-5.410833161946613e-07,1.8667857646942136,2.563271703684322e-06,3.736708164215088,3.6218548805139916e-07,,,0.2354736924171447,2.329268026005627e-08,8.15625,-2.0509186005625886e-05,121.0,-9.577283533152275e-20,113.0,2.1964369432724224e-05,,,,,,
20250719-054302,2.692140345720474,800,0.029473543167114258,0.03234589099884033,800,800.0,160.0,122.79103846695787,0.14996114300473184,1.0,0.0,0.7615613341331482,-1.5765474392816072e-07,-1.373763918876648,-6.837243993555349e-07,1.8723297119140625,-2.3264446692439586e-06,3.291919946670532,1.2222376370743625e-06,,,0.1995136737823486,3.939503747088989e-09,2.328125,-6.514445616502581e-06,124.0,4.867499809770168e-20,122.0,4.875761837787404e-06,,,,,,
20250724-032823,2.521865653293688,800,0.025116294622421265,0.032462477684020996,800,800.0,160.0,122.79103846695787,0.16557863943739326,1.0,0.0,-1.119341254234314,4.019419650421203e-08,-1.318124771118164,-9.906364398646917e-07,3.0660367012023926,1.013457283070167e-06,5.720349788665772,1.9295993039130073e-06,0.4395816922187805,-6.627152070040909e-09,0.2243718951940536,-1.3068910658470973e-07,-5.9375,-5.806082981715888e-06,120.0,1.2609541126140475e-18,125.0,4.571026722925557e-06,,,,,,
20250726-010812,22.784119887012565,800,0.4611170291900635,0.5416075825691223,800,800.0,160.0,122.79103846695787,0.21832660834450235,1.0,0.0,-1.301682472229004,1.2260787258898004e-07,0.3150773346424103,-2.1623374429473004e-07,5.385636806488037,2.539158001626072e-06,13.249756813049316,-1.1273966497594502e-06,1.0,-1.6808070339947773e-21,0.4004483222961426,-4.158814189219107e-10,-2.234375,-3.849478434130328e-06,124.0,1.1720581340831925e-06,126.0,3.0942334739806445e-06,,,,,,
20250730-075807,30.633987644316328,800,0.6306273937225342,0.6774154424667359,800,800.0,160.0,122.79103846695787,0.21819118642762536,1.0,0.0,-2.4471960067749023,-9.466850287982209e-09,-3.083601474761963,6.28128172532626e-07,3.933342933654785,1.8638010096600672e-07,13.168828010559082,-2.716544958261093e-06,1.0,-1.6808070339947773e-21,1.0,2.746000026688667e-09,8.09375,-1.0070909517111988e-05,133.0,4.688232536334968e-06,124.0,1.2962962962963613e-05,0.0,0.0,0.0,0.0,64.0,-1.0757165017566575e-19
20250731-023622,24.095058560502288,800,0.44239330291748047,0.4734792709350586,800,800.0,160.0,122.79103846695787,0.37877263153389595,1.0,0.0,-3.643177509307861,8.291909663353777e-08,-0.5614131689071655,-5.295866202234672e-07,3.1030519008636475,-1.3278830118510888e-07,17.790903091430664,-3.747465641815819e-06,1.0,-1.6808070339947773e-21,1.0,1.0211847502470231e-08,-25.171875,-1.090014064697713e-06,100.0,4.727312662262457e-19,125.0,3.820909517112981e-06,0.0,0.0,0.0,0.0,64.0,-1.0757165017566575e-19
