run,step,n_gen,fid,jsd
20250707-055456,999,4,28.59212782378673,0.6740734081526756
20250707-055456,1999,4,15.085344295266706,0.6829887853394412
20250707-055456,2999,4,9.209047560453767,0.6901556478693663
20250707-055456,3999,4,11.03456632408312,0.6864397064211527
20250707-055456,4999,4,2.7619641494009053,0.6788799599297759
20250707-055456,5999,4,10.44986021420702,0.6914448453534205
20250707-055456,6999,4,14.539045622257984,0.6864203296620675
20250707-055456,7999,4,5.295608291740335,0.6696632557681512
20250707-055456,8999,4,1.7124918637752344,0.6503786694134819
20250707-055456,9999,4,3.0160206302824135,0.6747066660500454
20250707-055456,10999,4,2.472840581934728,0.6869988226865739
20250707-055456,11999,4,2.6507190967837384,0.6764787229194066
20250707-055456,12999,4,2.522439642887031,0.6925404224479781
20250707-055456,13999,4,2.173168267271402,0.6925404224479781
20250707-055456,14999,4,1.8329402624941558,0.6866300866954249
20250707-055456,15999,4,4.470147903816516,0.6855345096008674
20250707-055456,16999,4,8.013965694532205,0.6914468542716105
20250707-055456,17999,4,4.836012817887487,0.6913482467352189
20250707-055456,18999,4,3.0885538914461437,0.6903860531284463
20250707-055456,19999,4,2.911512056546602,0.679215041580614
20250707-055456,20999,4,1.3481281987264655,0.6726053935343046
20250707-055456,21999,4,1.2455637776899091,0.6665356512459109
20250707-055456,22999,4,1.4242757085689886,0.6625111151885995
20250707-055456,23999,4,1.6206420230552283,0.6685079612467062
20250707-055456,24999,4,1.677034940637002,0.6681429022781232
20250707-055456,25999,4,1.7676396852340086,0.66051140195643
20250707-055456,26999,4,1.8881184757422498,0.6708876093134872
20250707-055456,27999,4,1.8214998861423626,0.6705199597287637
20250707-055456,28999,4,1.8792967844464288,0.6630523474126154
20250707-055456,29999,4,1.8231852708777179,0.6725419732950635
20250707-055456,30999,4,1.8649172148329416,0.659101805628775
20250707-055456,31999,4,1.889321606411016,0.6555735775568758
20250707-055456,32999,4,1.8649017364998988,0.6611595393679264
20250707-055456,33999,4,1.842056254308331,0.6580528098244941
20250707-055456,34999,4,1.8663574691367808,0.6752010882652326
20250707-055456,35999,4,1.8488528273812033,0.6705892382148133
20250707-055456,36999,4,1.8860578621759052,0.6670699137706076
20250707-055456,37999,4,1.8875912400240722,0.6650552592621486
20250707-055456,38999,4,1.9279346425534016,0.6616258525800478
20250707-055456,39999,4,1.8648041669997522,0.6632122603145587
20250707-055456,40999,4,2.025549074170856,0.6592810288175852
20250707-055456,41999,4,1.9357806326681912,0.6658247804008439
20250707-055456,42999,4,1.9043630379119918,0.6708876093134872
20250707-055456,43999,4,1.8105562521165441,0.6574865402143532
20250707-055456,44999,4,1.9375659201703448,0.6718078413811384
20250707-055456,45999,4,1.904977290177205,0.6632592604438101
20250707-055456,46999,4,1.8521862093084238,0.6634875122469313
20250707-055456,47999,4,1.8357250396544336,0.6592111091253473
20250707-055456,48999,4,1.8393488155475324,0.6644404793076497
20250707-055456,49999,4,1.8973160101924043,0.660925593827213
20250707-055456,50999,4,1.9211851377578002,0.6688202178695544
20250707-055456,51999,4,1.8186241545656403,0.662788616753802
20250707-055456,52999,4,1.892766529540661,0.6641433482015833
20250707-055456,53999,4,1.9789157247773095,0.6672439600964207
20250707-055456,54999,4,1.9527086813841676,0.6621619012505722
20250707-055456,55999,4,1.9435454344891392,0.6713521274696213
20250707-055456,56999,4,1.9839419294779796,0.6664227171447092
20250707-055456,57999,4,1.9294818020079292,0.6644011445758826
20250707-055456,58999,4,1.8835122760289114,0.6585465200737491
