id,z1,z2
20250706-154628_step000000_idx0,7.688929,10.929021
20250706-154628_step000000_idx1,7.9454827,10.775507
20250706-154628_step000000_idx2,7.897293,10.730714
20250706-154628_step000000_idx3,7.785073,10.532969
20250706-154628_step001000_idx0,8.132053,14.696167
20250706-154628_step001000_idx1,9.262225,13.475848
20250706-154628_step001000_idx2,9.651576,13.032688
20250706-154628_step001000_idx3,10.307044,10.273174
20250706-154628_step002000_idx0,8.009472,13.750199
20250706-154628_step002000_idx1,7.390972,14.483072
20250706-154628_step002000_idx2,7.7833447,14.759525
20250706-154628_step002000_idx3,7.621447,14.618694
20250706-154628_step003000_idx0,5.939823,14.690016
20250706-154628_step003000_idx1,6.5666256,14.437289
20250706-154628_step003000_idx2,6.2302556,14.740542
20250706-154628_step003000_idx3,5.602567,14.395213
20250706-154628_step004000_idx0,8.167977,10.949699
20250706-154628_step004000_idx1,12.24096,6.728027
20250706-154628_step004000_idx2,8.192597,10.881026
20250706-154628_step004000_idx3,12.200951,6.8080354
20250706-154628_step005000_idx0,12.226047,7.6070056
20250706-154628_step005000_idx1,10.11866,9.772774
20250706-154628_step005000_idx2,8.488016,11.604452
20250706-154628_step005000_idx3,12.251057,6.801647
20250706-154628_step006000_idx0,9.197079,10.718888
20250706-154628_step006000_idx1,12.320245,6.808098
20250706-154628_step006000_idx2,12.209375,6.838793
20250706-154628_step006000_idx3,8.005103,15.089358
20250706-154628_step007000_idx0,4.171819,13.960307
20250706-154628_step007000_idx1,5.2102375,14.213299
20250706-154628_step007000_idx2,4.3129153,13.771195
20250706-154628_step007000_idx3,4.4864306,14.048955
20250706-154628_step008000_idx0,8.168757,11.135468
20250706-154628_step008000_idx1,8.197992,11.067027
20250706-154628_step008000_idx2,8.205516,11.202917
20250706-154628_step008000_idx3,7.997069,11.284169
20250706-154628_step009000_idx0,12.359729,6.6445093
20250706-154628_step009000_idx1,12.331368,6.744091
20250706-154628_step009000_idx2,11.241565,8.929307
20250706-154628_step009000_idx3,12.367063,6.7191997
20250706-154628_step010000_idx0,7.4635806,10.919795
20250706-154628_step010000_idx1,7.736199,10.607867
20250706-154628_step010000_idx2,7.773355,10.923116
20250706-154628_step010000_idx3,7.080277,11.432585
20250706-154628_step011000_idx0,7.3792033,14.575952
20250706-154628_step011000_idx1,12.377336,6.7778096
20250706-154628_step011000_idx2,8.541802,11.241566
20250706-154628_step011000_idx3,12.288778,6.5684805
20250706-154628_step012000_idx0,9.89476,10.142539
20250706-154628_step012000_idx1,10.467559,9.650935
20250706-154628_step012000_idx2,12.256155,7.4866467
20250706-154628_step012000_idx3,9.006635,10.66361
20250706-154628_step013000_idx0,12.3296585,6.8099947
20250706-154628_step013000_idx1,12.268802,6.7232695
20250706-154628_step013000_idx2,12.335797,6.811067
20250706-154628_step013000_idx3,12.360202,6.717801
20250706-154628_step014000_idx0,10.485149,9.66066
20250706-154628_step014000_idx1,12.30515,6.9260793
20250706-154628_step014000_idx2,10.192713,9.640099
20250706-154628_step014000_idx3,12.32475,6.897447
20250706-154628_step015000_idx0,8.189812,14.227169
20250706-154628_step015000_idx1,5.699282,13.334832
20250706-154628_step015000_idx2,8.777149,14.242941
20250706-154628_step015000_idx3,8.931436,15.076742
20250706-154628_step016000_idx0,4.4630947,12.934517
20250706-154628_step016000_idx1,4.4311657,12.621834
20250706-154628_step016000_idx2,4.716093,14.049017
20250706-154628_step016000_idx3,5.39552,14.508929
20250706-154628_step017000_idx0,4.6597476,13.564715
20250706-154628_step017000_idx1,4.431338,12.675616
20250706-154628_step017000_idx2,3.6642225,5.669973
20250706-154628_step017000_idx3,4.4423285,13.4166565
20250706-154628_step018000_idx0,5.950344,12.653786
20250706-154628_step018000_idx1,4.7983823,11.479242
20250706-154628_step018000_idx2,8.010673,11.163698
20250706-154628_step018000_idx3,5.748698,12.758433
20250706-154628_step019000_idx0,7.9029207,11.143817
20250706-154628_step019000_idx1,8.070576,11.170067
20250706-154628_step019000_idx2,7.9179873,10.876912
20250706-154628_step019000_idx3,10.565313,8.193787
20250706-154628_step020000_idx0,7.897434,11.101588
20250706-154628_step020000_idx1,7.8316274,10.907418
20250706-154628_step020000_idx2,7.8039465,11.14068
20250706-154628_step020000_idx3,7.866327,10.992239
20250706-154628_step021000_idx0,-1.5092766,5.039545
20250706-154628_step021000_idx1,2.5024507,4.009902
20250706-154628_step021000_idx2,-4.2282944,5.3782263
20250706-154628_step021000_idx3,-3.7589102,5.498997
20250706-154628_step022000_idx0,-3.5502203,5.6105003
20250706-154628_step022000_idx1,4.444503,9.941914
20250706-154628_step022000_idx2,2.253103,1.9573268
20250706-154628_step022000_idx3,-3.1662455,5.650631
20250706-154628_step023000_idx0,-3.7285569,5.645892
20250706-154628_step023000_idx1,-3.3368418,5.4164157
20250706-154628_step023000_idx2,2.169464,-0.52212566
20250706-154628_step023000_idx3,-3.4515464,5.1287394
20250706-154628_step024000_idx0,-0.6367382,4.6254444
20250706-154628_step024000_idx1,-3.2770972,4.913973
20250706-154628_step024000_idx2,-2.1626346,4.1682353
20250706-154628_step024000_idx3,-1.2620069,3.576024
20250706-154628_step025000_idx0,-3.314197,5.191
20250706-154628_step025000_idx1,-3.292317,5.221901
20250706-154628_step025000_idx2,1.3717551,-1.2371385
20250706-154628_step025000_idx3,1.9133604,-0.3517529
20250706-154628_step026000_idx0,-3.1668313,5.2950406
20250706-154628_step026000_idx1,-3.1533883,5.224648
20250706-154628_step026000_idx2,-3.4926972,4.9706187
20250706-154628_step026000_idx3,3.284629,-1.4808491
20250706-154628_step027000_idx0,-3.2938654,5.355816
20250706-154628_step027000_idx1,-3.1685312,5.254504
20250706-154628_step027000_idx2,1.5767719,-0.5891761
20250706-154628_step027000_idx3,-3.1330388,5.323676
20250706-154628_step028000_idx0,2.9491787,-2.066453
20250706-154628_step028000_idx1,-3.1458166,5.3313932
20250706-154628_step028000_idx2,1.2343467,-0.55287784
20250706-154628_step028000_idx3,0.023415087,2.4988918
20250706-154628_step029000_idx0,-3.2289722,5.009199
20250706-154628_step029000_idx1,-3.212353,5.3812137
20250706-154628_step029000_idx2,2.7286777,-2.152103
20250706-154628_step029000_idx3,-3.2985973,5.076889
20250706-154628_step030000_idx0,-3.3309069,5.0851593
20250706-154628_step030000_idx1,-3.4209826,5.2190986
20250706-154628_step030000_idx2,-3.4605515,5.300791
20250706-154628_step030000_idx3,-3.1367474,5.1757646
20250706-154628_step031000_idx0,-4.0312643,4.8389854
20250706-154628_step031000_idx1,-3.254205,5.1706753
20250706-154628_step031000_idx2,-1.8624959,4.1879854
20250706-154628_step031000_idx3,-3.1667078,4.8634243
20250706-154628_step032000_idx0,-3.1565695,5.302316
20250706-154628_step032000_idx1,-3.3543942,5.282584
20250706-154628_step032000_idx2,1.5623767,-1.4021006
20250706-154628_step032000_idx3,1.4738327,-0.25175086
20250706-154628_step033000_idx0,-3.1647558,5.1437263
20250706-154628_step033000_idx1,-1.9638215,3.5632815
20250706-154628_step033000_idx2,-1.8691689,4.34762
20250706-154628_step033000_idx3,1.056339,2.4587994
20250706-154628_step034000_idx0,0.17685023,2.3211274
20250706-154628_step034000_idx1,-0.8091362,2.2591825
20250706-154628_step034000_idx2,0.2772953,0.8279841
20250706-154628_step034000_idx3,-3.1115632,4.905421
20250706-154628_step035000_idx0,-3.136479,5.3327346
20250706-154628_step035000_idx1,-3.478297,5.2095885
20250706-154628_step035000_idx2,-3.2716622,5.096201
20250706-154628_step035000_idx3,-3.2768948,5.3514237
20250706-154628_step036000_idx0,-3.2155368,5.144636
20250706-154628_step036000_idx1,-3.0349505,5.330148
20250706-154628_step036000_idx2,-3.4225986,5.199867
20250706-154628_step036000_idx3,-3.366797,5.2482324
20250706-154628_step037000_idx0,-3.2223113,5.3577724
20250706-154628_step037000_idx1,-3.4490666,5.0591426
20250706-154628_step037000_idx2,-3.0756683,5.309828
20250706-154628_step037000_idx3,-3.182045,5.235675
20250706-154628_step038000_idx0,-2.1006148,4.229073
20250706-154628_step038000_idx1,-3.0916967,5.1315246
20250706-154628_step038000_idx2,-1.5763042,4.017195
20250706-154628_step038000_idx3,-3.1538153,5.165416
20250706-154628_step039000_idx0,-1.3465111,3.6040907
20250706-154628_step039000_idx1,0.79286224,1.5568258
20250706-154628_step039000_idx2,-3.575709,5.50957
20250706-154628_step039000_idx3,-3.0161538,5.308129
20250706-154628_step040000_idx0,-0.14833157,3.3987932
20250706-154628_step040000_idx1,-3.1652095,5.2799797
20250706-154628_step040000_idx2,1.318744,-1.0470128
20250706-154628_step040000_idx3,-3.3771334,5.058171
20250706-154628_step041000_idx0,-2.1006148,4.229073
20250706-154628_step041000_idx1,-3.191802,5.0121984
20250706-154628_step041000_idx2,-3.1495628,5.2434216
20250706-154628_step041000_idx3,-3.4684536,4.8397593
20250706-154628_step042000_idx0,-3.3666992,5.339877
20250706-154628_step042000_idx1,-3.2937148,5.4353085
20250706-154628_step042000_idx2,-3.2940612,5.304703
20250706-154628_step042000_idx3,-3.221577,5.1863837
20250706-154628_step043000_idx0,-3.2321503,5.2310576
20250706-154628_step043000_idx1,-3.3039544,5.1110373
20250706-154628_step043000_idx2,-3.320096,4.992678
20250706-154628_step043000_idx3,-3.3971162,5.310888
20250706-154628_step044000_idx0,-3.1915135,5.2747183
20250706-154628_step044000_idx1,-3.5035796,5.381393
20250706-154628_step044000_idx2,-3.2358427,5.2918887
20250706-154628_step044000_idx3,-3.3758616,5.271517
20250706-154628_step045000_idx0,-3.2226048,5.311046
20250706-154628_step045000_idx1,-3.192634,5.457129
20250706-154628_step045000_idx2,-3.011266,5.250139
20250706-154628_step045000_idx3,-3.2441847,5.2983284
20250706-154628_step046000_idx0,-3.103914,5.050802
20250706-154628_step046000_idx1,-3.2497795,5.3416104
20250706-154628_step046000_idx2,-3.2678926,5.3492937
20250706-154628_step046000_idx3,-3.2603896,5.253523
20250706-154628_step047000_idx0,-3.2798975,5.4988613
20250706-154628_step047000_idx1,-2.497968,4.6625
20250706-154628_step047000_idx2,1.3371242,-1.6475657
20250706-154628_step047000_idx3,1.3506932,-0.6945352
20250706-154628_step048000_idx0,-3.1781664,5.4285583
20250706-154628_step048000_idx1,1.6000847,0.1454166
20250706-154628_step048000_idx2,-3.2738125,5.252215
20250706-154628_step048000_idx3,1.4354095,-0.9795602
20250706-154628_step049000_idx0,-3.219054,5.3081474
20250706-154628_step049000_idx1,-3.137844,5.0767937
20250706-154628_step049000_idx2,-3.3836484,5.3783665
20250706-154628_step049000_idx3,-3.1937933,5.250665
20250706-154628_step050000_idx0,-3.1840231,5.3540754
20250706-154628_step050000_idx1,-0.632549,3.436096
20250706-154628_step050000_idx2,-3.0131207,5.494953
20250706-154628_step050000_idx3,0.9167413,0.71992123
20250706-154628_step051000_idx0,2.9642668,-1.8756796
20250706-154628_step051000_idx1,-3.2438855,5.1776357
20250706-154628_step051000_idx2,-3.2480812,5.2133946
20250706-154628_step051000_idx3,-3.4379203,5.458961
20250706-154628_step052000_idx0,-3.2831774,5.290622
20250706-154628_step052000_idx1,2.7599616,-2.3810768
20250706-154628_step052000_idx2,1.0735387,2.6168234
20250706-154628_step052000_idx3,-3.3499222,5.3171363
20250706-154628_step053000_idx0,-3.2369404,5.146417
20250706-154628_step053000_idx1,-3.0853877,5.0906596
20250706-154628_step053000_idx2,-3.1026843,5.4584327
20250706-154628_step053000_idx3,1.8116165,0.04881532
20250706-154628_step054000_idx0,-3.4166172,5.4080205
20250706-154628_step054000_idx1,1.9313515,-1.9837178
20250706-154628_step054000_idx2,0.45642877,1.9927359
20250706-154628_step054000_idx3,-0.36885625,2.1694093
20250706-154628_step055000_idx0,-3.2206604,5.388289
20250706-154628_step055000_idx1,-3.418967,5.319779
20250706-154628_step055000_idx2,-3.2173436,5.4526706
20250706-154628_step055000_idx3,-3.3123236,5.317615
20250706-154628_step056000_idx0,1.2793928,-0.43661013
20250706-154628_step056000_idx1,-3.236091,5.2541814
20250706-154628_step056000_idx2,-3.2509897,5.3315463
20250706-154628_step056000_idx3,2.7767875,-2.3665621
20250706-154628_step057000_idx0,-3.3756676,4.9546943
20250706-154628_step057000_idx1,-3.2544572,5.203038
20250706-154628_step057000_idx2,-3.2939067,5.142913
20250706-154628_step057000_idx3,-3.2694316,5.3738213
20250706-154628_step058000_idx0,1.5682662,-0.22865441
20250706-154628_step058000_idx1,-3.1657925,5.1301475
20250706-154628_step058000_idx2,-3.4231246,5.0512047
20250706-154628_step058000_idx3,1.4801621,0.22200218
20250706-154628_step059000_idx0,-3.2534819,4.9603877
20250706-154628_step059000_idx1,2.9028986,-2.2150166
20250706-154628_step059000_idx2,-3.241045,5.301789
20250706-154628_step059000_idx3,-3.2186203,5.251861
20250706-154628_step060000_idx0,-3.2584515,5.4249387
20250706-154628_step060000_idx1,-2.651519,4.795024
20250706-154628_step060000_idx2,-3.3320978,5.1560864
20250706-154628_step060000_idx3,-3.0732903,5.362854
20250706-154628_step061000_idx0,-3.2582269,5.2127733
20250706-154628_step061000_idx1,-3.2171838,5.2079997
20250706-154628_step061000_idx2,2.4603348,-2.5345721
20250706-154628_step061000_idx3,-3.216105,5.2169714
20250706-154628_step062000_idx0,-3.1301942,5.2098913
20250706-154628_step062000_idx1,-3.2457497,5.242648
20250706-154628_step062000_idx2,-3.2932336,5.272123
20250706-154628_step062000_idx3,-3.304486,5.132299
20250706-154628_step063000_idx0,0.0073487293,2.8335907
20250706-154628_step063000_idx1,-3.2908313,5.2081747
20250706-154628_step063000_idx2,-3.302414,5.3187184
20250706-154628_step063000_idx3,-2.2867622,4.722096
20250706-154628_step064000_idx0,-3.366358,5.177829
20250706-154628_step064000_idx1,-3.3541095,5.319941
20250706-154628_step064000_idx2,-3.2695262,5.066884
20250706-154628_step064000_idx3,-3.2161627,5.1765103
20250706-154628_step065000_idx0,-3.1566873,5.042737
20250706-154628_step065000_idx1,-3.0659218,5.1909885
20250706-154628_step065000_idx2,-3.2187998,5.1266537
20250706-154628_step065000_idx3,-3.347867,5.0686526
20250706-154628_step066000_idx0,-3.3492913,5.1597133
20250706-154628_step066000_idx1,-3.2609043,5.130286
20250706-154628_step066000_idx2,-1.2550691,3.0684307
20250706-154628_step066000_idx3,1.1752805,0.26769003
20250706-154628_step067000_idx0,-3.2037244,5.285863
20250706-154628_step067000_idx1,-3.4244328,5.2775946
20250706-154628_step067000_idx2,0.971361,0.42217347
20250706-154628_step067000_idx3,-3.2061958,5.11271
20250706-154628_step068000_idx0,-3.2202554,5.163772
20250706-154628_step068000_idx1,-3.126146,5.1951165
20250706-154628_step068000_idx2,-3.1205044,5.19467
20250706-154628_step068000_idx3,-3.453134,5.3106804
20250706-154628_step069000_idx0,-2.9540083,5.127526
20250706-154628_step069000_idx1,-3.4223993,5.2869964
20250706-154628_step069000_idx2,-3.3232644,5.3276515
20250706-154628_step069000_idx3,-3.2080827,5.2544794
20250706-154628_step070000_idx0,-0.62657446,2.6068368
20250706-154628_step070000_idx1,1.1374329,-0.00067216397
20250706-154628_step070000_idx2,-3.1485708,5.1595016
20250706-154628_step070000_idx3,-3.2363465,5.4419084
20250706-154628_step071000_idx0,-3.2607775,5.3762174
20250706-154628_step071000_idx1,-1.4759185,3.8699963
20250706-154628_step071000_idx2,-0.29695627,2.7431521
20250706-154628_step071000_idx3,1.9816569,-0.008648998
20250706-154628_step072000_idx0,-3.2730167,5.2657275
20250706-154628_step072000_idx1,-3.5374165,4.9917755
20250706-154628_step072000_idx2,-0.0826557,2.532301
20250706-154628_step072000_idx3,-3.104782,5.319349
20250706-154628_step073000_idx0,-3.5801802,5.15493
20250706-154628_step073000_idx1,-3.1628199,5.1820245
20250706-154628_step073000_idx2,1.2249862,-1.2600058
20250706-154628_step073000_idx3,-3.3017244,5.1571355
20250706-154628_step074000_idx0,-3.391106,5.241841
20250706-154628_step074000_idx1,-3.2477443,5.345283
20250706-154628_step074000_idx2,-3.1468132,5.2743816
20250706-154628_step074000_idx3,-3.2631712,5.2887216
20250706-154628_step075000_idx0,-3.3803804,5.170003
20250706-154628_step075000_idx1,-3.1627471,5.1030436
20250706-154628_step075000_idx2,-3.267979,5.1827884
20250706-154628_step075000_idx3,-3.3491623,5.3351398
20250706-154628_step076000_idx0,-3.1047184,5.1920056
20250706-154628_step076000_idx1,-3.2237535,5.12247
20250706-154628_step076000_idx2,-3.3793812,5.3254037
20250706-154628_step076000_idx3,-3.459707,4.970555
20250706-154628_step077000_idx0,0.75843036,2.4085677
20250706-154628_step077000_idx1,-3.222781,5.48204
20250706-154628_step077000_idx2,-3.2228096,5.14799
20250706-154628_step077000_idx3,-0.65796036,3.2559593
20250706-154628_step078000_idx0,-1.4594748,3.4156268
20250706-154628_step078000_idx1,-2.2408466,4.372293
20250706-154628_step078000_idx2,-3.1647139,5.221835
20250706-154628_step078000_idx3,-3.2409956,5.100236
20250706-154628_step079000_idx0,0.6850383,1.1922934
20250706-154628_step079000_idx1,-3.1267462,5.134924
20250706-154628_step079000_idx2,1.4279207,1.0035701
20250706-154628_step079000_idx3,-1.4108855,3.5836651
20250706-154628_step080000_idx0,0.47122085,2.132869
20250706-154628_step080000_idx1,-3.3491817,5.1079803
