id,z1,z2
seq0,9.457145,6.7825437
seq1,9.194317,7.0134983
seq2,2.5038528,-1.3010092
seq3,11.484434,6.0151057
seq4,-3.7182379,5.0130324
seq5,9.870555,12.431732
seq6,2.2493129,-0.9504876
seq7,5.519885,14.208621
seq8,6.805676,12.944589
seq9,2.4236927,-0.49518496
seq10,5.470309,13.429796
seq11,4.6793613,13.448404
seq12,6.211837,14.883114
seq13,12.346573,6.2122574
seq14,-3.7525353,5.062833
seq15,4.1564865,15.4967165
seq16,6.9333467,12.078469
seq17,5.205335,13.374476
seq18,12.147902,6.011026
seq19,9.652432,5.985348
seq20,4.107554,14.24774
seq21,11.240436,5.7059083
seq22,9.007262,14.246545
seq23,11.490453,6.585455
seq24,9.035079,6.3426833
seq25,9.166258,12.769121
seq26,11.096673,1.9503591
seq27,9.381844,6.694837
seq28,11.215609,6.4112773
seq29,11.57023,2.3164465
seq30,7.299468,14.970985
seq31,5.4936996,13.046836
seq32,9.161625,14.914624
seq33,7.5679197,14.350983
seq34,1.852238,-1.9035455
seq35,9.438878,6.467745
seq36,4.2117267,15.202445
seq37,4.73582,13.14392
seq38,6.220213,15.410966
seq39,10.829424,7.502238
seq40,9.859599,7.467603
seq41,10.653544,7.516745
seq42,7.5259037,12.629397
seq43,1.8579766,-1.7305187
seq44,11.3460455,2.3296514
seq45,4.2507205,14.131593
seq46,11.335961,6.9150977
seq47,5.1225986,15.1229515
seq48,2.4047596,-1.5302905
seq49,11.738012,6.60916
seq50,3.0083666,-1.0527223
seq51,7.484264,12.793829
seq52,5.0680513,13.757127
seq53,5.871286,13.184744
seq54,7.3624535,11.968189
seq55,7.502027,14.803563
seq56,9.991417,4.1606264
seq57,7.3087296,10.854883
seq58,2.262365,-1.4841602
seq59,9.424478,13.896881
seq60,1.8076669,-2.6048903
seq61,11.323166,6.733431
seq62,7.540007,15.285713
seq63,9.853492,5.9478507
seq64,7.8040247,14.449597
seq65,7.7969427,14.611635
seq66,11.333966,6.6695986
seq67,5.5850897,12.860989
seq68,9.9863825,11.3038
seq69,12.076415,6.2957745
seq70,7.4111123,14.88938
seq71,2.5813153,-1.9598917
seq72,11.230321,6.3636284
seq73,-3.488752,5.1110215
seq74,6.0694685,13.436577
seq75,4.767503,13.585218
seq76,10.785828,7.492635
seq77,1.8837652,-1.421015
seq78,6.3765745,13.716997
seq79,8.846821,14.843531
seq80,5.725572,12.115906
seq81,4.286204,14.382181
seq82,6.9004364,12.345204
seq83,4.277004,14.148417
seq84,9.859633,14.096438
seq85,5.130794,13.70979
seq86,9.096666,6.2045836
seq87,4.1394544,15.29149
seq88,7.40307,10.876544
seq89,7.225798,12.80002
seq90,5.3341155,12.630377
seq91,12.266622,6.5798025
seq92,6.896939,12.044027
seq93,7.9556155,13.39662
seq94,10.152896,4.0362053
seq95,7.0283966,13.087071
seq96,7.1488705,10.900208
seq97,10.167642,4.036141
seq98,8.95294,14.209754
seq99,2.906822,-0.72715926
seq100,5.124722,13.750737
seq101,1.9215351,-2.6228826
seq102,9.021604,14.292835
seq103,11.393022,6.451169
seq104,11.057438,6.375868
seq105,6.175606,13.799091
seq106,7.9327517,13.851457
seq107,-3.4715793,5.1846166
seq108,9.842754,11.388038
seq109,5.04638,15.0470915
seq110,6.9611773,14.765207
seq111,6.699789,14.602033
seq112,8.8523655,7.2909117
seq113,5.3852186,14.098809
seq114,2.938807,-0.936829
seq115,7.5383005,11.843234
seq116,7.7881126,13.484312
seq117,9.753306,7.6498837
seq118,7.211405,14.845153
seq119,11.649855,7.5263205
seq120,11.146215,2.026987
seq121,7.015664,14.954669
seq122,9.142019,7.2877116
seq123,10.050161,4.090228
seq124,2.1948652,-1.1019884
seq125,1.7982032,-2.34887
seq126,2.5078208,-0.29507223
seq127,8.718349,7.328692
seq128,4.961222,16.0257
seq129,7.3848763,15.122069
seq130,11.525047,7.4001203
seq131,6.3578258,15.849464
seq132,10.533041,7.657258
seq133,11.424681,7.600893
seq134,1.9611504,-1.7065347
seq135,-4.039221,5.1371646
seq136,5.6282907,11.944624
seq137,10.014423,5.80425
seq138,8.823051,12.069054
seq139,5.838439,12.1547575
seq140,7.4798765,10.978024
seq141,4.2346315,14.349871
seq142,11.755471,7.3188076
seq143,6.318635,15.422902
seq144,11.169523,7.8711367
seq145,6.546669,12.433229
seq146,6.904701,12.274327
seq147,2.5252755,-1.6952547
seq148,9.432006,6.0491633
seq149,7.3721447,14.934768
seq150,4.8840237,15.002333
seq151,9.759946,7.7501764
seq152,5.5750246,13.946645
seq153,5.8221636,14.748627
seq154,4.256198,15.348546
seq155,5.6251993,13.106368
seq156,9.219377,7.689659
seq157,9.78292,6.274365
seq158,2.166434,-1.6129292
seq159,4.027964,14.091365
seq160,9.659604,7.786382
seq161,9.189952,14.404152
seq162,7.665462,7.5203986
seq163,4.9573245,14.755793
seq164,11.203834,6.536348
seq165,9.324379,7.432879
seq166,9.197349,15.025721
seq167,10.30414,4.7454615
seq168,5.9216056,13.427234
seq169,6.5189466,15.7866125
seq170,5.5852637,15.820538
seq171,9.393138,6.194419
seq172,7.4606743,10.9856
seq173,6.825477,14.822992
seq174,8.6747875,12.925836
seq175,9.332701,6.369954
seq176,7.9070363,13.812923
seq177,8.374453,12.757746
seq178,2.2186358,-0.7938635
seq179,5.2052655,12.172622
seq180,9.681881,13.856492
seq181,2.3131886,-2.2477725
seq182,4.7579255,15.895441
seq183,7.7309813,8.331561
seq184,2.7692783,-0.57062477
seq185,10.718567,6.485731
seq186,7.0840487,14.914702
seq187,1.9604751,-1.0112203
seq188,2.141341,-1.6796545
seq189,10.282301,6.7363777
seq190,4.7570148,14.806384
seq191,2.4933605,-0.30638885
seq192,-3.6650553,5.0322633
seq193,9.208292,7.187614
seq194,8.842159,14.49659
seq195,10.908754,13.438384
seq196,7.0654454,12.446905
seq197,7.506608,14.374389
seq198,12.321738,6.23393
seq199,6.8170376,14.425996
